       Step     Time          Energy          fmax
FIRE2:    0 22:05:21      -74.922129       18.960272
       Step     Time          Energy          fmax
FIRE2:    0 22:05:25      -74.922129       18.960272
       Step     Time          Energy          fmax
FIRE2:    0 22:05:27      -74.922129       18.960272
       Step     Time          Energy          fmax
FIRE2:    0 22:05:27      -74.922129       18.960272
       Step     Time          Energy          fmax
FIRE2:    0 22:05:28      -74.922129       18.960272
       Step     Time          Energy          fmax
FIRE2:    0 22:05:34      -74.922129       18.960272
       Step     Time          Energy          fmax
FIRE2:    0 22:05:34      -74.922129       18.960272
       Step     Time          Energy          fmax
FIRE2:    0 22:05:35      -74.922129       18.960272
       Step     Time          Energy          fmax
FIRE2:    0 22:05:37      -74.922129       18.960272
       Step     Time          Energy          fmax
FIRE2:    0 22:05:40      -74.922129       18.960272
FIRE2:    1 22:06:18      -64.806508       97.712851
FIRE2:    1 22:06:23      -64.806508       97.712851
FIRE2:    1 22:06:25      -64.806508       97.712851
FIRE2:    1 22:06:25      -64.806508       97.712851
FIRE2:    1 22:06:27      -64.806508       97.712851
FIRE2:    1 22:06:32      -64.806508       97.712851
FIRE2:    1 22:06:33      -64.806508       97.712851
FIRE2:    1 22:06:33      -64.806508       97.712851
FIRE2:    1 22:06:35      -64.806508       97.712851
FIRE2:    1 22:06:39      -64.806508       97.712851
FIRE2:    2 22:08:56      -74.875556       21.349158
FIRE2:    2 22:09:00      -74.875556       21.349158
FIRE2:    2 22:09:01      -74.875556       21.349158
FIRE2:    2 22:09:02      -74.875556       21.349158
FIRE2:    2 22:09:05      -74.875556       21.349158
FIRE2:    2 22:09:10      -74.875556       21.349158
FIRE2:    2 22:09:10      -74.875556       21.349158
FIRE2:    2 22:09:11      -74.875556       21.349158
FIRE2:    2 22:09:12      -74.875556       21.349158
FIRE2:    2 22:09:18      -74.875556       21.349158
FIRE2:    3 22:11:51      -74.752535        4.097860
FIRE2:    3 22:11:55      -74.752535        4.097860
FIRE2:    3 22:11:56      -74.752535        4.097860
FIRE2:    3 22:11:58      -74.752535        4.097860
FIRE2:    3 22:12:03      -74.752535        4.097860
FIRE2:    3 22:12:05      -74.752535        4.097860
FIRE2:    3 22:12:05      -74.752535        4.097860
FIRE2:    3 22:12:07      -74.752535        4.097860
FIRE2:    3 22:12:08      -74.752535        4.097860
FIRE2:    3 22:12:15      -74.752535        4.097860
FIRE2:    4 22:13:10      -74.665066        1.223672
FIRE2:    4 22:13:16      -74.665066        1.223672
FIRE2:    4 22:13:16      -74.665066        1.223672
FIRE2:    4 22:13:16      -74.665066        1.223672
FIRE2:    4 22:13:23      -74.665066        1.223672
FIRE2:    4 22:13:25      -74.665066        1.223672
FIRE2:    4 22:13:25      -74.665066        1.223672
FIRE2:    4 22:13:27      -74.665066        1.223672
FIRE2:    4 22:13:27      -74.665066        1.223672
FIRE2:    4 22:13:36      -74.665066        1.223672
FIRE2:    5 22:14:32      -74.534983        2.015497
FIRE2:    5 22:14:37      -74.534983        2.015497
FIRE2:    5 22:14:38      -74.534983        2.015497
FIRE2:    5 22:14:39      -74.534983        2.015497
FIRE2:    5 22:14:45      -74.534983        2.015497
FIRE2:    5 22:14:46      -74.534983        2.015497
FIRE2:    5 22:14:46      -74.534983        2.015497
FIRE2:    5 22:14:49      -74.534983        2.015497
FIRE2:    5 22:14:49      -74.534983        2.015497
FIRE2:    5 22:14:58      -74.534983        2.015497
FIRE2:    6 22:17:33      -74.561737        1.086732
FIRE2:    6 22:17:41      -74.561737        1.086732
FIRE2:    6 22:17:43      -74.561737        1.086732
FIRE2:    6 22:17:46      -74.561737        1.086732
FIRE2:    6 22:17:49      -74.561737        1.086732
FIRE2:    6 22:17:51      -74.561737        1.086732
FIRE2:    6 22:17:52      -74.561737        1.086732
FIRE2:    6 22:17:52      -74.561737        1.086732
FIRE2:    6 22:17:52      -74.561737        1.086732
FIRE2:    6 22:18:05      -74.561737        1.086732
FIRE2:    7 22:18:47      -74.571154        0.936181
FIRE2:    7 22:18:57      -74.571154        0.936181
FIRE2:    7 22:18:58      -74.571154        0.936181
FIRE2:    7 22:19:03      -74.571154        0.936181
FIRE2:    7 22:19:04      -74.571154        0.936181
FIRE2:    7 22:19:06      -74.571154        0.936181
FIRE2:    7 22:19:06      -74.571154        0.936181
FIRE2:    7 22:19:07      -74.571154        0.936181
FIRE2:    7 22:19:08      -74.571154        0.936181
FIRE2:    7 22:19:20      -74.571154        0.936181
FIRE2:    8 22:20:05      -74.587711        0.713901
FIRE2:    8 22:20:18      -74.587711        0.713901
FIRE2:    8 22:20:18      -74.587711        0.713901
FIRE2:    8 22:20:23      -74.587711        0.713901
FIRE2:    8 22:20:23      -74.587711        0.713901
FIRE2:    8 22:20:24      -74.587711        0.713901
FIRE2:    8 22:20:26      -74.587711        0.713901
FIRE2:    8 22:20:28      -74.587711        0.713901
FIRE2:    8 22:20:29      -74.587711        0.713901
FIRE2:    8 22:20:42      -74.587711        0.713901
FIRE2:    9 22:21:22      -74.599268        0.412056
FIRE2:    9 22:21:37      -74.599268        0.412056
FIRE2:    9 22:21:39      -74.599268        0.412056
FIRE2:    9 22:21:42      -74.599268        0.412056
FIRE2:    9 22:21:43      -74.599268        0.412056
FIRE2:    9 22:21:44      -74.599268        0.412056
FIRE2:    9 22:21:47      -74.599268        0.412056
FIRE2:    9 22:21:48      -74.599268        0.412056
FIRE2:    9 22:21:48      -74.599268        0.412056
FIRE2:    9 22:22:04      -74.599268        0.412056
FIRE2:   10 22:22:49      -74.604014        0.048298
FIRE2:   10 22:23:05      -74.604014        0.048298
FIRE2:   10 22:23:06      -74.604014        0.048298
FIRE2:   10 22:23:11      -74.604014        0.048298
FIRE2:   10 22:23:12      -74.604014        0.048298
FIRE2:   10 22:23:13      -74.604014        0.048298
FIRE2:   10 22:23:14      -74.604014        0.048298
FIRE2:   10 22:23:16      -74.604014        0.048298
FIRE2:   10 22:23:16      -74.604014        0.048298
FIRE2:   10 22:23:32      -74.604014        0.048298
FIRE2:   11 22:24:10      -74.631214        0.215915
FIRE2:   11 22:24:28      -74.631214        0.215915
FIRE2:   11 22:24:30      -74.631214        0.215915
FIRE2:   11 22:24:35      -74.631214        0.215915
FIRE2:   11 22:24:36      -74.631214        0.215915
FIRE2:   11 22:24:37      -74.631214        0.215915
FIRE2:   11 22:24:37      -74.631214        0.215915
FIRE2:   11 22:24:41      -74.631214        0.215915
FIRE2:   11 22:24:41      -74.631214        0.215915
FIRE2:   11 22:24:57      -74.631214        0.215915
FIRE2:   12 22:27:17      -74.631248        0.080967
FIRE2:   12 22:27:40      -74.631248        0.080967
FIRE2:   12 22:27:43      -74.631248        0.080967
FIRE2:   12 22:27:46      -74.631248        0.080967
FIRE2:   12 22:27:47      -74.631248        0.080967
FIRE2:   12 22:27:49      -74.631248        0.080967
FIRE2:   12 22:27:51      -74.631248        0.080967
FIRE2:   12 22:27:53      -74.631248        0.080967
FIRE2:   12 22:27:56      -74.631248        0.080967
FIRE2:   12 22:28:12      -74.631248        0.080967
FIRE2:   13 22:28:43      -74.631249        0.086316
FIRE2:   13 22:29:07      -74.631249        0.086316
FIRE2:   13 22:29:11      -74.631249        0.086316
FIRE2:   13 22:29:13      -74.631249        0.086316
FIRE2:   13 22:29:14      -74.631249        0.086316
FIRE2:   13 22:29:16      -74.631249        0.086316
FIRE2:   13 22:29:18      -74.631249        0.086316
FIRE2:   13 22:29:21      -74.631249        0.086316
FIRE2:   13 22:29:26      -74.631249        0.086316
FIRE2:   13 22:29:41      -74.631249        0.086316
FIRE2:   14 22:30:12      -74.631250        0.052865
FIRE2:   14 22:30:36      -74.631250        0.052865
FIRE2:   14 22:30:42      -74.631250        0.052865
FIRE2:   14 22:30:43      -74.631250        0.052865
FIRE2:   14 22:30:44      -74.631250        0.052865
FIRE2:   14 22:30:48      -74.631250        0.052865
FIRE2:   14 22:30:49      -74.631250        0.052865
FIRE2:   14 22:30:52      -74.631250        0.052865
FIRE2:   14 22:30:57      -74.631250        0.052865
FIRE2:   14 22:31:13      -74.631250        0.052865
FIRE2:   15 22:31:41      -74.631252        0.055056
FIRE2:   15 22:32:05      -74.631252        0.055056
FIRE2:   15 22:32:11      -74.631252        0.055056
FIRE2:   15 22:32:12      -74.631252        0.055056
FIRE2:   15 22:32:14      -74.631252        0.055056
FIRE2:   15 22:32:16      -74.631252        0.055056
FIRE2:   15 22:32:21      -74.631252        0.055056
FIRE2:   15 22:32:24      -74.631252        0.055056
FIRE2:   15 22:32:27      -74.631252        0.055056
FIRE2:   15 22:32:46      -74.631252        0.055056
FIRE2:   16 22:33:02      -74.631254        0.069821
FIRE2:   16 22:33:26      -74.631254        0.069821
FIRE2:   16 22:33:33      -74.631254        0.069821
FIRE2:   16 22:33:34      -74.631254        0.069821
FIRE2:   16 22:33:39      -74.631254        0.069821
