Material,Functional,Scale_Factor,Lattice_Constant,Energy,Energy_per_atom
TiN,PBE+D4,0.9499564856740597,4.029,-72.61889866281685,-9.077362332852106
TiN,PBE+D4,0.9624528107524227,4.082,-73.35109528132382,-9.168886910165478
TiN,PBE+D4,0.9749491358307859,4.135,-73.82449739467353,-9.228062174334191
TiN,PBE+D4,0.9874454609091491,4.188,-74.08222944809722,-9.260278681012153
TiN,PBE+D4,0.9999417859875122,4.241,-74.12140231563745,-9.265175289454682
TiN,PBE+D4,1.0124381110658756,4.2940000000000005,-73.958350383306,-9.24479379791325
TiN,PBE+D4,1.0249344361442387,4.347,-73.62497909370067,-9.203122386712584
TiN,PBE+D4,1.037430761222602,4.4,-73.14565482545373,-9.143206853181717
TiN,PBE+D4,1.0499270863009649,4.453,-72.57157467579643,-9.071446834474553
VN,PBE+D4,0.9430463062403484,3.89,-73.9860899707356,-9.24826124634195
VN,PBE+D4,0.9565919906519625,3.945875,-74.91541724182889,-9.364427155228611
VN,PBE+D4,0.970137675063577,4.00175,-75.54120089092466,-9.442650111365582
VN,PBE+D4,0.983683359475191,4.057625,-75.8587890550413,-9.482348631880162
VN,PBE+D4,0.9972290438868054,4.1135,-75.93329446441687,-9.49166180805211
VN,PBE+D4,1.0107747282984194,4.169375,-75.73662877766176,-9.46707859720772
VN,PBE+D4,1.0243204127100338,4.22525,-75.39943083036815,-9.424928853796018
VN,PBE+D4,1.037866097121648,4.281124999999999,-74.84405893439862,-9.355507366799827
VN,PBE+D4,1.0514117815332624,4.337,-74.15653540340034,-9.269566925425043
ScN,PBE+D4,0.9470300783159514,4.272,-67.20146192596319,-8.400182740745398
ScN,PBE+D4,0.9595551718142781,4.3285,-67.8261560788672,-8.4782695098584
ScN,PBE+D4,0.9720802653126046,4.385,-68.16749975387623,-8.520937469234529
ScN,PBE+D4,0.9846053588109314,4.4415000000000004,-68.3526522867522,-8.544081535844025
ScN,PBE+D4,0.9971304523092579,4.498,-68.324030618616,-8.540503827327
ScN,PBE+D4,1.0096555458075844,4.5545,-68.17591485691997,-8.521989357114997
ScN,PBE+D4,1.0221806393059112,4.611000000000001,-67.8703127387993,-8.483789092349912
ScN,PBE+D4,1.0347057328042377,4.6675,-67.43911398464488,-8.42988924808061
ScN,PBE+D4,1.0472308263025643,4.724,-66.9180977780043,-8.364762222250537
ZrN,PBE+D4,0.9478477181202216,4.359,-75.75834952024158,-9.469793690030198
ZrN,PBE+D4,0.9594539057675413,4.412375,-76.48942026072358,-9.561177532590447
ZrN,PBE+D4,0.9710600934148611,4.46575,-76.98967203781925,-9.623709004727406
ZrN,PBE+D4,0.9826662810621809,4.519125,-77.24418152745281,-9.655522690931601
ZrN,PBE+D4,0.9942724687095006,4.5725,-77.30386239038553,-9.662982798798192
ZrN,PBE+D4,1.0058786563568203,4.625875,-77.18017015782762,-9.647521269728452
ZrN,PBE+D4,1.0174848440041402,4.67925,-76.89372780310457,-9.611715975388071
ZrN,PBE+D4,1.0290910316514599,4.732625,-76.4570281446463,-9.557128518080788
ZrN,PBE+D4,1.0406972192987796,4.786,-75.9041711205972,-9.48802139007465
NbN,PBE+D4,0.9464285794821861,4.197,-82.25419068920365,-10.281773836150457
NbN,PBE+D4,0.9591130225595921,4.25325,-83.10248090328541,-10.387810112910676
NbN,PBE+D4,0.971797465636998,4.3095,-83.60447427097341,-10.450559283871677
NbN,PBE+D4,0.9844819087144041,4.36575,-83.79575311407814,-10.474469139259767
NbN,PBE+D4,0.9971663517918101,4.422000000000001,-83.75430146268346,-10.469287682835432
NbN,PBE+D4,1.009850794869216,4.478249999999999,-83.47886686485431,-10.434858358106789
NbN,PBE+D4,1.0225352379466222,4.5345,-83.00401352915556,-10.375501691144445
NbN,PBE+D4,1.035219681024028,4.59075,-82.36140263554574,-10.295175329443218
NbN,PBE+D4,1.047904124101434,4.647,-81.55254167223592,-10.19406770902949
