Material,Functional,Scale_Factor,Lattice_Constant,Energy,Energy_per_atom
TiN,PBE,0.9499564856740597,4.029,-69.49218651373695,-8.68652331421712
TiN,PBE,0.9624528107524227,4.082,-70.38933941436474,-8.798667426795593
TiN,PBE,0.9749491358307859,4.135,-71.01356633802412,-8.876695792253015
TiN,PBE,0.9874454609091491,4.188,-71.40974128558598,-8.926217660698248
TiN,PBE,0.9999417859875122,4.241,-71.57629129581038,-8.947036411976297
TiN,PBE,1.0124381110658756,4.2940000000000005,-71.53081903582365,-8.941352379477957
TiN,PBE,1.0249344361442387,4.347,-71.3062935442533,-8.913286693031662
TiN,PBE,1.037430761222602,4.4,-70.92792485798775,-8.865990607248468
TiN,PBE,1.0499270863009649,4.453,-70.44768138631792,-8.80596017328974
VN,PBE,0.9430463062403484,3.89,-70.32325515192863,-8.79040689399108
VN,PBE,0.9565919906519625,3.945875,-71.44717767787441,-8.930897209734301
VN,PBE,0.970137675063577,4.00175,-72.25101031473281,-9.031376289341601
VN,PBE,0.983683359475191,4.057625,-72.73215787148959,-9.091519733936199
VN,PBE,0.9972290438868054,4.1135,-72.95736271456589,-9.119670339320736
VN,PBE,1.0107747282984194,4.169375,-72.90006208281177,-9.112507760351471
VN,PBE,1.0243204127100338,4.22525,-72.69201992113209,-9.08650249014151
VN,PBE,1.037866097121648,4.281124999999999,-72.25663777398113,-9.03207972174764
VN,PBE,1.0514117815332624,4.337,-71.68087275008493,-8.960109093760616
ScN,PBE,0.9470300783159514,4.272,-63.747480960574286,-7.968435120071786
ScN,PBE,0.9595551718142781,4.3285,-64.52649128363414,-8.065811410454268
ScN,PBE,0.9720802653126046,4.385,-65.01215493526287,-8.126519366907859
ScN,PBE,0.9846053588109314,4.4415000000000004,-65.33250244617679,-8.166562805772099
ScN,PBE,0.9971304523092579,4.498,-65.43048154466382,-8.178810193082978
ScN,PBE,1.0096555458075844,4.5545,-65.40126616922825,-8.175158271153531
ScN,PBE,1.0221806393059112,4.611000000000001,-65.20790777618826,-8.150988472023533
ScN,PBE,1.0347057328042377,4.6675,-64.88161712368805,-8.110202140461006
ScN,PBE,1.0472308263025643,4.724,-64.45926202909568,-8.05740775363696
ZrN,PBE,0.9478477181202216,4.359,-73.02647562257329,-9.12830945282166
ZrN,PBE,0.9594539057675413,4.412375,-73.88334007837277,-9.235417509796596
ZrN,PBE,0.9710600934148611,4.46575,-74.50031617484265,-9.312539521855332
ZrN,PBE,0.9826662810621809,4.519125,-74.86346674454427,-9.357933343068034
ZrN,PBE,0.9942724687095006,4.5725,-75.02447119640598,-9.378058899550748
ZrN,PBE,1.0058786563568203,4.625875,-74.99624028759143,-9.37453003594893
ZrN,PBE,1.0174848440041402,4.67925,-74.79842377112772,-9.349802971390965
ZrN,PBE,1.0290910316514599,4.732625,-74.44476053361646,-9.305595066702057
ZrN,PBE,1.0406972192987796,4.786,-73.96982497725162,-9.246228122156452
NbN,PBE,0.9464285794821861,4.197,-78.75115280672692,-9.843894100840865
NbN,PBE,0.9591130225595921,4.25325,-79.76922884351201,-9.971153605439001
NbN,PBE,0.971797465636998,4.3095,-80.42828050033054,-10.053535062541318
NbN,PBE,0.9844819087144041,4.36575,-80.76530434940904,-10.09566304367613
NbN,PBE,0.9971663517918101,4.422000000000001,-80.85927608020808,-10.10740951002601
NbN,PBE,1.009850794869216,4.478249999999999,-80.71001046787563,-10.088751308484454
NbN,PBE,1.0225352379466222,4.5345,-80.35294269644591,-10.044117837055738
NbN,PBE,1.035219681024028,4.59075,-79.82110932646172,-9.977638665807715
NbN,PBE,1.047904124101434,4.647,-79.11527979783094,-9.889409974728867
