System,LC_eq (Å),Volume_eq (Å³),E_min (eV),Bulk Modulus (eV/Å³)
ScN_BEEF,4.518383885615025,92.24638982214317,-286.21111344751705,1.1766770030715137
VN_D4,4.096623088023386,68.75084255398498,-76.95098691216006,2.045394765008101
TiN_BEEF,4.2637627211252065,77.51381006708627,-302.9549035486564,1.6683772160417893
ScN_D3,4.476850614493642,89.72589699453668,-69.23366860395124,1.2961444178694033
VN_D3,4.102372164522521,69.04069748434291,-77.25739433545252,2.064605343174605
ZrN_BEEF,4.596924488705287,97.1408970449433,-570.4322709634758,1.517880322399026
NbN_D3,4.383210749629909,84.21259640781871,-85.52361074981559,2.02924173760197
NbN_BEEF,4.4243255004222934,86.60465029426898,-592.1856165483989,1.8844926456362745
TiN_D3,4.221550208940377,75.23429865025743,-76.05094953933101,1.8239636741915228
TiN_D4,4.219416675329727,75.12028807041597,-75.25104032913947,1.7854195876573493
ZrN_D4,4.559923411818471,94.81403844820875,-78.52050667095347,1.6044251511953636
NbN_D4,4.381730806197682,84.12732480380923,-84.83465137639843,2.0047465470070573
ScN_D4,4.4672224374708085,89.14823183733976,-69.44129323531722,1.296555564172041
ZrN_D3,4.558452697385101,94.7223267732449,-79.35694670572653,1.6288444722381599
VN_BEEF,4.151352916287989,71.54329959304793,-317.32974212678,1.9146177787012226
