Material,Functional,Scale_Factor,Lattice_Constant,Energy,Energy_per_atom
VN,PBE,0.98,4.0424314,-72.63835645702817,-9.07979455712852
VN,PBE,0.9857142857142857,4.066002428571428,-72.7762641880007,-9.097033023500087
VN,PBE,0.9914285714285714,4.0895734571428575,-72.89394616172166,-9.111743270215207
VN,PBE,0.9971428571428571,4.113144485714286,-72.93548835474766,-9.116936044343458
VN,PBE,1.002857142857143,4.136715514285714,-72.97748901140156,-9.122186126425195
VN,PBE,1.0085714285714287,4.160286542857143,-72.93887898515946,-9.117359873144933
VN,PBE,1.0142857142857142,4.183857571428571,-72.88986378295458,-9.111232972869322
VN,PBE,1.02,4.2074286,-72.78972050792714,-9.098715063490893
ScN,PBE,0.98,4.4207254826,-65.22783380399702,-8.153479225499627
ScN,PBE,0.9857142857142857,4.4465023075714285,-65.35634572153391,-8.169543215191739
ScN,PBE,0.9914285714285714,4.472279132542857,-65.42151982882896,-8.17768997860362
ScN,PBE,0.9971428571428571,4.4980559575142856,-65.43016650230389,-8.178770812787986
ScN,PBE,1.002857142857143,4.523832782485714,-65.4367283958469,-8.179591049480862
ScN,PBE,1.0085714285714287,4.5496096074571435,-65.40931597370385,-8.176164496712982
ScN,PBE,1.0142857142857142,4.575386432428571,-65.34205274216706,-8.167756592770882
ScN,PBE,1.02,4.6011632574,-65.2484380397918,-8.156054754973974
ZrN,PBE,0.98,4.5068632,-74.79657058801122,-9.349571323501403
ZrN,PBE,0.9857142857142857,4.533142285714286,-74.93917021778532,-9.367396277223165
ZrN,PBE,0.9914285714285714,4.559421371428572,-75.00408193577405,-9.375510241971757
ZrN,PBE,0.9971428571428571,4.585700457142857,-75.04541500434333,-9.380676875542916
ZrN,PBE,1.002857142857143,4.611979542857143,-75.01643739978527,-9.37705467497316
ZrN,PBE,1.0085714285714287,4.638258628571429,-74.96995523258188,-9.371244404072735
ZrN,PBE,1.0142857142857142,4.664537714285714,-74.8568962420797,-9.357112030259962
ZrN,PBE,1.02,4.6908168,-74.72819537012246,-9.341024421265308
NbN,PBE,0.98,4.3458746800000005,-80.68368914667123,-10.085461143333903
NbN,PBE,0.9857142857142857,4.371215057142857,-80.78814591796692,-10.098518239745864
NbN,PBE,0.9914285714285714,4.396555434285714,-80.85396516063528,-10.10674564507941
NbN,PBE,0.9971428571428571,4.421895811428572,-80.83953175471564,-10.104941469339455
NbN,PBE,1.002857142857143,4.447236188571429,-80.82688350735215,-10.103360438419019
NbN,PBE,1.0085714285714287,4.472576565714286,-80.73865854348539,-10.092332317935673
NbN,PBE,1.0142857142857142,4.497916942857143,-80.58982666644361,-10.073728333305452
NbN,PBE,1.02,4.52325732,-80.434448451225,-10.054306056403124
TiN,PBE,0.98,4.1564219620000005,-71.21243644145119,-8.901554555181399
TiN,PBE,0.9857142857142857,4.180657658571429,-71.37408477736447,-8.92176059717056
TiN,PBE,0.9914285714285714,4.204893355142858,-71.49108416853468,-8.936385521066835
TiN,PBE,0.9971428571428571,4.229129051714286,-71.56405477352364,-8.945506846690455
TiN,PBE,1.002857142857143,4.253364748285715,-71.5689595477988,-8.94611994347485
TiN,PBE,1.0085714285714287,4.277600444857144,-71.54517405357284,-8.943146756696605
TiN,PBE,1.0142857142857142,4.301836141428572,-71.4910835398756,-8.93638544248445
TiN,PBE,1.02,4.326071838,-71.41748905938108,-8.927186132422635
